,annealing_schedule,archive_minimum_acceptable_dissimilarity,average_runtime,best_performance,bound_enforcing_method,cholesky_path_length,maximum_archive_length,maximum_function_evaluations,maximum_markov_chain_length,mean_performance,objective_function,pertubation_method,raw_results,std_perormance,step_size_initialisation_fraction_of_range,x_bounds,x_length
0,simple_exponential_cooling,0.2,2.551097790400187,-1594.6432364943923,not_clipping,5.0,100.0,10000.0,1.0,-1184.6555494293584,<function rana_func at 0x0000020494B001F0>,Cholesky,"[ -759.27373939 -1281.71580454  -929.7788027   -724.00122071
 -1374.588822   -1228.08436174 -1373.55201835  -989.34032774
 -1090.44742544 -1165.16042687  -803.35341883 -1017.61902223
 -1436.7583179  -1594.64323649 -1076.58382368 -1442.4449136
 -1130.90213282 -1220.12576391 -1333.96513831 -1243.06497911
 -1340.02753883 -1147.54487072 -1169.49571698 -1374.64276299
 -1474.76809847  -998.72643575  -946.93755359 -1146.02514965
 -1279.10243573 -1446.99222379]",217.39571452116235,0.01,"(-500, 500)",5.0
1,simple_exponential_cooling,0.2,1.5292630116144816,-1787.3756629328666,not_clipping,5.0,100.0,10000.0,1.0,-1406.6248822817377,<function rana_func at 0x0000020494B001F0>,Diagonal,"[-1316.15132525 -1111.2679504  -1787.37566293 -1453.2541416
 -1376.78826157 -1620.53461932 -1623.72791778 -1538.46929692
  -978.9026452  -1259.88011005 -1512.09989188 -1060.00577384
 -1516.5413599  -1411.68613196 -1433.24173501 -1368.03515014
 -1119.71699917 -1140.64160379 -1706.07958027 -1687.45102968
 -1260.95341354 -1281.11067007 -1379.07601594 -1669.7065419
 -1351.9941848  -1192.63144671 -1386.94152137 -1606.44338428
 -1661.22343085 -1386.81467231]",207.09385238920592,0.1,"(-500, 500)",5.0
2,simple_exponential_cooling,0.2,1.0286678711573283,-500.2857678765277,not_clipping,5.0,100.0,10000.0,1.0,-462.96710576496497,<function rana_func at 0x0000020494B001F0>,simple,"[-500.28576788 -499.19648095 -499.57277049 -456.47360732 -391.61784606
 -496.24327228 -465.81645872 -499.14363233 -411.65174833 -417.33733456
 -427.9174338  -499.68161749 -465.85413419 -439.06481408 -456.16032815
 -430.88781868 -461.26102083 -456.04628216 -499.59973346 -461.13170388
 -499.70389488 -481.31596183 -496.86441594 -391.95212154 -456.00318605
 -455.93325897 -481.30011578 -499.86729759 -480.47038778 -410.65872694]",33.991123827077644,0.1,"(-500, 500)",2.0
3,simple_exponential_cooling,0.2,2.5918818871180216,-1594.6432364943923,not_clipping,5.0,100.0,10000.0,1.0,-1184.6555494293584,<function rana_func at 0x0000020494B001F0>,Cholesky,"[ -759.27373939 -1281.71580454  -929.7788027   -724.00122071
 -1374.588822   -1228.08436174 -1373.55201835  -989.34032774
 -1090.44742544 -1165.16042687  -803.35341883 -1017.61902223
 -1436.7583179  -1594.64323649 -1076.58382368 -1442.4449136
 -1130.90213282 -1220.12576391 -1333.96513831 -1243.06497911
 -1340.02753883 -1147.54487072 -1169.49571698 -1374.64276299
 -1474.76809847  -998.72643575  -946.93755359 -1146.02514965
 -1279.10243573 -1446.99222379]",217.39571452116235,0.01,"(-500, 500)",5.0
4,simple_exponential_cooling,0.2,1.5071189244588217,-1787.3756629328666,not_clipping,5.0,100.0,10000.0,1.0,-1406.6248822817377,<function rana_func at 0x0000020494B001F0>,Diagonal,"[-1316.15132525 -1111.2679504  -1787.37566293 -1453.2541416
 -1376.78826157 -1620.53461932 -1623.72791778 -1538.46929692
  -978.9026452  -1259.88011005 -1512.09989188 -1060.00577384
 -1516.5413599  -1411.68613196 -1433.24173501 -1368.03515014
 -1119.71699917 -1140.64160379 -1706.07958027 -1687.45102968
 -1260.95341354 -1281.11067007 -1379.07601594 -1669.7065419
 -1351.9941848  -1192.63144671 -1386.94152137 -1606.44338428
 -1661.22343085 -1386.81467231]",207.09385238920592,0.1,"(-500, 500)",5.0
5,simple_exponential_cooling,0.2,0.9021581888198853,-500.2857678765277,not_clipping,5.0,100.0,10000.0,1.0,-462.96710576496497,<function rana_func at 0x0000020494B001F0>,simple,"[-500.28576788 -499.19648095 -499.57277049 -456.47360732 -391.61784606
 -496.24327228 -465.81645872 -499.14363233 -411.65174833 -417.33733456
 -427.9174338  -499.68161749 -465.85413419 -439.06481408 -456.16032815
 -430.88781868 -461.26102083 -456.04628216 -499.59973346 -461.13170388
 -499.70389488 -481.31596183 -496.86441594 -391.95212154 -456.00318605
 -455.93325897 -481.30011578 -499.86729759 -480.47038778 -410.65872694]",33.991123827077644,0.1,"(-500, 500)",2.0
6,simple_exponential_cooling,0.2,2.5549999396006267,-1707.7371991949515,not_clipping,5.0,100.0,10000.0,2.0,-1206.0713494568927,<function rana_func at 0x0000020494B001F0>,Cholesky,"[ -625.46186272 -1060.45468403 -1136.25767502  -743.43770621
 -1166.62198417 -1333.36978307 -1279.33430636 -1114.18086991
 -1213.98862313 -1162.33264337 -1166.77259682  -723.35531817
 -1442.07497672 -1489.78150544 -1442.07484539 -1376.80650403
 -1216.63407943 -1169.04268014 -1365.50905166  -927.6591994
 -1274.38194811 -1218.89066747 -1190.80077938 -1296.82441652
 -1603.45799635 -1136.10908746 -1707.73719919 -1284.52600609
  -839.57927894 -1474.682209  ]",245.7084554345398,0.01,"(-500, 500)",5.0
7,simple_exponential_cooling,0.2,1.4691317160924275,-1863.625757787201,not_clipping,5.0,100.0,10000.0,2.0,-1376.0633256315969,<function rana_func at 0x0000020494B001F0>,Diagonal,"[-1334.00622398 -1487.22153004 -1323.87593483 -1510.27335959
 -1351.36735976 -1581.87004534 -1645.11812177 -1573.84625036
 -1547.52307137  -910.47584818 -1265.6951495  -1171.99242184
 -1477.26590242 -1133.48355397 -1258.64800439 -1350.96748424
 -1443.84776545 -1335.90214983 -1611.61975045  -988.63862755
 -1504.27914884 -1430.27910792 -1241.92899972 -1669.72880408
 -1100.52481222 -1305.98311987 -1386.9450705  -1267.61373203
 -1863.62575779 -1207.35266113]",205.5180648445705,0.1,"(-500, 500)",5.0
8,simple_exponential_cooling,0.2,0.9205522696177165,-499.0990321725434,not_clipping,5.0,100.0,10000.0,2.0,-467.63705896508117,<function rana_func at 0x0000020494B001F0>,simple,"[-497.592191   -480.48654318 -416.41495299 -456.07112559 -451.13705739
 -437.9166211  -495.40841232 -488.21754881 -437.71459823 -456.48242287
 -496.52279571 -455.89336948 -442.12180044 -451.30677684 -481.53820878
 -495.64401433 -461.15948884 -496.56999248 -433.70209636 -497.4321965
 -480.26080655 -498.59517208 -481.52865454 -497.95173548 -499.09903217
 -434.55420084 -460.93234599 -455.67333852 -480.52554259 -410.65872694]",26.38866835844161,0.1,"(-500, 500)",2.0
9,simple_exponential_cooling,0.2,2.598480757077535,-1536.2986414681723,not_clipping,5.0,100.0,10000.0,3.0,-1250.9199338003248,<function rana_func at 0x0000020494B001F0>,Cholesky,"[-1080.30279927 -1165.86682319  -951.48824771 -1248.07382328
 -1122.00582368 -1348.64917756 -1453.64494133 -1149.49881268
 -1359.44670534 -1267.27619098 -1170.42350842 -1246.08842497
 -1212.46050171 -1380.51947135 -1220.75776013 -1278.86384208
 -1035.32739364 -1004.92139898 -1345.12249116 -1407.6029011
 -1101.87461483 -1536.29864147 -1256.63121504 -1310.73251772
 -1427.81824807 -1163.53299954 -1412.53347168 -1110.00625945
 -1245.82327706 -1514.0057306 ]",146.50478564272942,0.01,"(-500, 500)",5.0
